==========================================================================
  AI REVENUE RECOVERY AGENT - FULL END-TO-END DEMO RUN (SEED=42)
  Timestamp: 2026-08-24 22:37:46
==========================================================================

[Step 1/5] Resetting database tables...
Database reset complete.

[Step 2/5] Ingesting synthetic datasets (Payments, Checkouts, Subscriptions, Invoices)...
Ingestion complete: Processed records: {'customers': 200, 'payments': 350, 'checkouts': 250, 'subscriptions': 200, 'invoices': 200}

[Step 3/5] Executing Revenue-at-Risk Detection engine...
Detection complete: Created 381 cases representing $376,590.00 at risk.

[Step 4/5] Processing all detected cases (Classify -> Guardrails -> Simulator)...
Retrieved 381 detected recovery cases from database.

Case #001 | Type=FAILED_PAYMENT     | Amount=$ 1171.99 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,171.99) exceeds max auto-approval threshold ($500.00).
Case #251 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #252 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #253 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #254 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #255 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #256 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #257 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #258 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #259 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #260 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #261 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #262 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #263 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #264 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #265 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #266 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #267 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #268 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #269 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #270 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #271 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #272 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #273 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #274 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #275 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #276 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #277 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #278 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #279 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #280 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #281 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #282 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #283 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #284 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #285 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #286 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #287 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #288 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #289 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #290 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #291 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #292 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #293 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #294 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #295 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #296 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #297 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #298 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #299 | Type=FAILED_SUBSCRIPTION | Amount=$  599.00 | Action=RETRY_PAYMENT         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($599.00) exceeds max auto-approval threshold ($500.00).
Case #300 | Type=FAILED_SUBSCRIPTION | Amount=$  199.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #301 | Type=FAILED_SUBSCRIPTION | Amount=$   29.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #302 | Type=FAILED_SUBSCRIPTION | Amount=$   79.00 | Action=RETRY_PAYMENT         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #303 | Type=OVERDUE_INVOICE    | Amount=$ 3698.16 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,698.16) exceeds max auto-approval threshold ($500.00).
Case #304 | Type=OVERDUE_INVOICE    | Amount=$ 2921.49 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,921.49) exceeds max auto-approval threshold ($500.00).
Case #305 | Type=OVERDUE_INVOICE    | Amount=$ 2082.86 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,082.86) exceeds max auto-approval threshold ($500.00).
Case #306 | Type=OVERDUE_INVOICE    | Amount=$ 3313.40 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,313.40) exceeds max auto-approval threshold ($500.00).
Case #307 | Type=OVERDUE_INVOICE    | Amount=$ 1718.55 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,718.55) exceeds max auto-approval threshold ($500.00).
Case #308 | Type=OVERDUE_INVOICE    | Amount=$ 2155.87 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,155.87) exceeds max auto-approval threshold ($500.00).
Case #309 | Type=OVERDUE_INVOICE    | Amount=$ 3030.30 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,030.30) exceeds max auto-approval threshold ($500.00).
Case #310 | Type=OVERDUE_INVOICE    | Amount=$ 3138.67 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,138.67) exceeds max auto-approval threshold ($500.00).
Case #311 | Type=OVERDUE_INVOICE    | Amount=$  906.56 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($906.56) exceeds max auto-approval threshold ($500.00).
Case #312 | Type=OVERDUE_INVOICE    | Amount=$ 1328.78 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,328.78) exceeds max auto-approval threshold ($500.00).
Case #313 | Type=OVERDUE_INVOICE    | Amount=$ 3739.06 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,739.06) exceeds max auto-approval threshold ($500.00).
Case #314 | Type=OVERDUE_INVOICE    | Amount=$ 3147.13 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,147.13) exceeds max auto-approval threshold ($500.00).
Case #315 | Type=OVERDUE_INVOICE    | Amount=$ 1897.06 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,897.06) exceeds max auto-approval threshold ($500.00).
Case #316 | Type=OVERDUE_INVOICE    | Amount=$ 2024.64 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,024.64) exceeds max auto-approval threshold ($500.00).
Case #317 | Type=OVERDUE_INVOICE    | Amount=$ 4623.01 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,623.01) exceeds max auto-approval threshold ($500.00).
Case #318 | Type=OVERDUE_INVOICE    | Amount=$ 3336.12 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,336.12) exceeds max auto-approval threshold ($500.00).
Case #319 | Type=OVERDUE_INVOICE    | Amount=$ 3120.37 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,120.37) exceeds max auto-approval threshold ($500.00).
Case #320 | Type=OVERDUE_INVOICE    | Amount=$ 2928.56 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,928.56) exceeds max auto-approval threshold ($500.00).
Case #321 | Type=OVERDUE_INVOICE    | Amount=$ 2968.00 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,968.00) exceeds max auto-approval threshold ($500.00).
Case #322 | Type=OVERDUE_INVOICE    | Amount=$ 4597.99 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,597.99) exceeds max auto-approval threshold ($500.00).
Case #323 | Type=OVERDUE_INVOICE    | Amount=$ 3676.34 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,676.34) exceeds max auto-approval threshold ($500.00).
Case #324 | Type=OVERDUE_INVOICE    | Amount=$  277.06 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #325 | Type=OVERDUE_INVOICE    | Amount=$ 3119.96 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,119.96) exceeds max auto-approval threshold ($500.00).
Case #326 | Type=OVERDUE_INVOICE    | Amount=$ 1892.42 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,892.42) exceeds max auto-approval threshold ($500.00).
Case #327 | Type=OVERDUE_INVOICE    | Amount=$ 4638.36 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,638.36) exceeds max auto-approval threshold ($500.00).
Case #328 | Type=OVERDUE_INVOICE    | Amount=$ 4942.98 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,942.98) exceeds max auto-approval threshold ($500.00).
Case #329 | Type=OVERDUE_INVOICE    | Amount=$ 4355.58 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,355.58) exceeds max auto-approval threshold ($500.00).
Case #330 | Type=OVERDUE_INVOICE    | Amount=$ 4454.80 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,454.80) exceeds max auto-approval threshold ($500.00).
Case #331 | Type=OVERDUE_INVOICE    | Amount=$ 4818.57 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,818.57) exceeds max auto-approval threshold ($500.00).
Case #332 | Type=OVERDUE_INVOICE    | Amount=$ 1718.79 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,718.79) exceeds max auto-approval threshold ($500.00).
Case #333 | Type=OVERDUE_INVOICE    | Amount=$  362.94 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #334 | Type=OVERDUE_INVOICE    | Amount=$  720.14 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($720.14) exceeds max auto-approval threshold ($500.00).
Case #335 | Type=OVERDUE_INVOICE    | Amount=$  209.21 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #336 | Type=OVERDUE_INVOICE    | Amount=$ 3348.43 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,348.43) exceeds max auto-approval threshold ($500.00).
Case #337 | Type=OVERDUE_INVOICE    | Amount=$  328.10 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #338 | Type=OVERDUE_INVOICE    | Amount=$ 3113.79 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,113.79) exceeds max auto-approval threshold ($500.00).
Case #339 | Type=OVERDUE_INVOICE    | Amount=$  802.55 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($802.55) exceeds max auto-approval threshold ($500.00).
Case #340 | Type=OVERDUE_INVOICE    | Amount=$ 2694.53 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,694.53) exceeds max auto-approval threshold ($500.00).
Case #341 | Type=OVERDUE_INVOICE    | Amount=$ 4899.40 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,899.40) exceeds max auto-approval threshold ($500.00).
Case #342 | Type=OVERDUE_INVOICE    | Amount=$ 4014.15 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,014.15) exceeds max auto-approval threshold ($500.00).
Case #343 | Type=OVERDUE_INVOICE    | Amount=$ 4059.31 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,059.31) exceeds max auto-approval threshold ($500.00).
Case #344 | Type=OVERDUE_INVOICE    | Amount=$ 2817.47 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,817.47) exceeds max auto-approval threshold ($500.00).
Case #345 | Type=OVERDUE_INVOICE    | Amount=$ 1805.60 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,805.60) exceeds max auto-approval threshold ($500.00).
Case #346 | Type=OVERDUE_INVOICE    | Amount=$ 4623.06 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,623.06) exceeds max auto-approval threshold ($500.00).
Case #347 | Type=OVERDUE_INVOICE    | Amount=$ 1601.82 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,601.82) exceeds max auto-approval threshold ($500.00).
Case #348 | Type=OVERDUE_INVOICE    | Amount=$  240.78 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #349 | Type=OVERDUE_INVOICE    | Amount=$  471.13 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #350 | Type=OVERDUE_INVOICE    | Amount=$ 4343.28 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,343.28) exceeds max auto-approval threshold ($500.00).
Case #351 | Type=OVERDUE_INVOICE    | Amount=$ 1964.95 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,964.95) exceeds max auto-approval threshold ($500.00).
Case #352 | Type=OVERDUE_INVOICE    | Amount=$ 2302.30 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,302.30) exceeds max auto-approval threshold ($500.00).
Case #353 | Type=OVERDUE_INVOICE    | Amount=$ 4137.37 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,137.37) exceeds max auto-approval threshold ($500.00).
Case #354 | Type=OVERDUE_INVOICE    | Amount=$ 3482.20 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,482.20) exceeds max auto-approval threshold ($500.00).
Case #355 | Type=OVERDUE_INVOICE    | Amount=$  650.05 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($650.05) exceeds max auto-approval threshold ($500.00).
Case #356 | Type=OVERDUE_INVOICE    | Amount=$ 1697.88 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,697.88) exceeds max auto-approval threshold ($500.00).
Case #357 | Type=OVERDUE_INVOICE    | Amount=$  913.86 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($913.86) exceeds max auto-approval threshold ($500.00).
Case #358 | Type=OVERDUE_INVOICE    | Amount=$ 3124.32 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,124.32) exceeds max auto-approval threshold ($500.00).
Case #359 | Type=OVERDUE_INVOICE    | Amount=$  410.93 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #360 | Type=OVERDUE_INVOICE    | Amount=$ 4472.69 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,472.69) exceeds max auto-approval threshold ($500.00).
Case #361 | Type=OVERDUE_INVOICE    | Amount=$ 2903.78 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,903.78) exceeds max auto-approval threshold ($500.00).
Case #362 | Type=OVERDUE_INVOICE    | Amount=$ 1401.56 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,401.56) exceeds max auto-approval threshold ($500.00).
Case #363 | Type=OVERDUE_INVOICE    | Amount=$ 1752.09 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,752.09) exceeds max auto-approval threshold ($500.00).
Case #364 | Type=OVERDUE_INVOICE    | Amount=$ 4251.97 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,251.97) exceeds max auto-approval threshold ($500.00).
Case #365 | Type=OVERDUE_INVOICE    | Amount=$  767.86 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($767.86) exceeds max auto-approval threshold ($500.00).
Case #366 | Type=OVERDUE_INVOICE    | Amount=$ 3016.21 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,016.21) exceeds max auto-approval threshold ($500.00).
Case #367 | Type=OVERDUE_INVOICE    | Amount=$  527.79 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($527.79) exceeds max auto-approval threshold ($500.00).
Case #368 | Type=OVERDUE_INVOICE    | Amount=$  487.60 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #369 | Type=OVERDUE_INVOICE    | Amount=$ 1563.79 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,563.79) exceeds max auto-approval threshold ($500.00).
Case #370 | Type=OVERDUE_INVOICE    | Amount=$ 1627.07 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($1,627.07) exceeds max auto-approval threshold ($500.00).
Case #371 | Type=OVERDUE_INVOICE    | Amount=$ 2110.36 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,110.36) exceeds max auto-approval threshold ($500.00).
Case #372 | Type=OVERDUE_INVOICE    | Amount=$ 4844.31 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,844.31) exceeds max auto-approval threshold ($500.00).
Case #373 | Type=OVERDUE_INVOICE    | Amount=$ 3602.10 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($3,602.10) exceeds max auto-approval threshold ($500.00).
Case #374 | Type=OVERDUE_INVOICE    | Amount=$ 2015.29 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($2,015.29) exceeds max auto-approval threshold ($500.00).
Case #375 | Type=OVERDUE_INVOICE    | Amount=$  497.97 | Action=SEND_REMINDER         | Route=AUTO_EXECUTE | Decision=APPROVED | Reason: All guardrail safety checks passed successfully.
Case #376 | Type=OVERDUE_INVOICE    | Amount=$ 4058.82 | Action=SEND_REMINDER         | Route=HUMAN_REVIEW | Decision=BLOCKED  | Reason: Amount at risk ($4,058.82) exceeds max auto-approval threshold ($500.00).
